IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
1,2,1963,999912,HY,56,52,HY,NA,HY,Surface,17,03160112_AL,03160112_AL,-87.357,33.459
2,3,1954,201912,C1,138,138,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
4,3,1954,201912,C1,137,137,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
6,3,1959,999912,C1,249,249,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
8,3,1969,999912,C1,362,362,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
10,3,1971,999912,C7,726.5,726.5,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
12,3,2000,999912,EC,962,1064,NG,RC,CC,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
13,4,1967,999912,HY,225.9,228,HY,NA,HY,Surface,17,03150201_AL,03150107_AL,-86.283,32.584
14,7,1949,201412,C1,64,64,CL,OT,ST,Surface,17,03150106_AL,03150106_AL,-85.971,34.013
15,7,1949,201412,C1,66,66,CL,OT,ST,Surface,17,03150106_AL,03150106_AL,-85.971,34.013
16,8,1972,999912,C7,703,703,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
18,8,1951,201612,C1,103,103,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
19,8,1952,201712,C1,104,104,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
20,8,1956,999912,C4,161,161,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
22,8,1958,999912,C4,170,170,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
24,9,1980,999912,ET,62,62,NG,NA,CT,Surface,18,13040100_TX,13040100_TX,-106.375,31.757
25,10,1965,999912,C1,254,254,CL,OT,ST,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
27,10,1966,999912,C1,243,243,CL,OT,ST,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
29,10,1996,999912,ET,740,884,NG,NA,CT,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
30,11,1966,999912,HY,70,67,HY,NA,HY,Surface,17,03150106_AL,03150106_AL,-86.052,33.784
31,12,1968,201512,HY,45,45,HY,NA,HY,Surface,17,03160112_AL,03160112_AL,-87.449,33.255
32,13,1929,999912,HY,100,100,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.255,32.619
33,14,1964,999912,HY,135,125,HY,NA,HY,Surface,17,03150106_AL,03150106_AL,-86.334,33.424
34,15,1968,999912,HY,178.8,180,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.519,32.963
35,16,1927,999912,HY,186,163.2,HY,NA,HY,Surface,17,03150110_AL,03150109_AL,-85.913,32.68
36,17,1949,999912,HY,165.9,167.1,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.446,32.805
37,18,1961,999912,HY,180,166,HY,NA,HY,Surface,17,03160110_AL,03160110_AL,-87.108,33.941
38,19,1931,999912,HY,78,78,HY,NA,HY,Surface,17,03150110_AL,03150110_AL,-85.889,32.535
39,20,1962,999912,HY,74.1,66.9,HY,NA,HY,Surface,17,03150105_AL,03150105_AL,-85.753,34.172
40,21,1928,999912,HY,47,48,HY,NA,HY,Surface,17,03150110_AL,03150110_AL,-85.89,32.574
41,26,1960,999912,C4,254,254,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
45,26,1960,999912,B1,256,256,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
47,26,1961,999912,B1,254,254,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
49,26,1974,999912,C7,842,842,CL,RC,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
51,26,1970,999912,ET,16,20,OL,NA,CT,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
52,26,1962,999912,C1,256,256,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
54,30,2001,999912,ET,10.2,10.6,NN,NA,NN,Unknown,8,07020010_MN,07020010_MN,-94.415,44.053
55,34,1980,999912,HY,12.1,12.1,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.952,39.134
56,38,1970,999912,HY,90,90,HY,NA,HY,Surface,17,03150203_AL,03150203_AL,-87.397,32.101
57,46,1974,999912,CN,1100.8,1131.7,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
58,46,1975,999912,CN,1103.7,1135.2,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
60,46,1977,999912,CN,1104.9,1134.2,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
62,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
63,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
64,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
65,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
66,47,1965,999912,C1,472,481,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
67,47,1972,999912,ET,363.2,486.4,NG,NA,CT,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
